type,side,price,size,ts_ns
snapshot,a,65880.57,0.00583000,1784618834527258500
snapshot,a,65881.60,0.00153174,1784618834527258500
snapshot,a,65882.00,0.01070000,1784618834527258500
snapshot,a,65882.18,0.00018547,1784618834527258500
snapshot,a,65882.25,0.09103615,1784618834527258500
snapshot,a,65882.57,0.00592000,1784618834527258500
snapshot,a,65883.24,0.00005820,1784618834527258500
snapshot,a,65883.32,0.00038328,1784618834527258500
snapshot,a,65883.51,0.21548572,1784618834527258500
snapshot,a,65883.52,0.10000000,1784618834527258500
snapshot,a,65883.61,0.06831285,1784618834527258500
snapshot,a,65883.62,0.04555578,1784618834527258500
snapshot,a,65884.00,0.01070000,1784618834527258500
snapshot,a,65884.12,0.03381109,1784618834527258500
snapshot,a,65884.80,0.00153174,1784618834527258500
snapshot,a,65885.00,0.01000000,1784618834527258500
snapshot,a,65885.54,0.09103615,1784618834527258500
snapshot,a,65885.89,0.00001700,1784618834527258500
snapshot,a,65886.14,0.00076656,1784618834527258500
snapshot,a,65886.20,0.00000111,1784618834527258500
snapshot,a,65887.52,0.06801533,1784618834527258500
snapshot,a,65887.53,0.09103615,1784618834527258500
snapshot,a,65888.00,0.00153174,1784618834527258500
snapshot,a,65888.83,0.02136063,1784618834527258500
snapshot,a,65888.98,0.09102297,1784618834527258500
snapshot,a,65889.11,0.11736136,1784618834527258500
snapshot,a,65889.12,0.04555578,1784618834527258500
snapshot,a,65889.18,0.00153313,1784618834527258500
snapshot,a,65889.33,0.01604641,1784618834527258500
snapshot,a,65889.60,0.00001700,1784618834527258500
snapshot,a,65890.00,0.01000000,1784618834527258500
snapshot,a,65890.57,0.00102478,1784618834527258500
snapshot,a,65890.71,0.10974322,1784618834527258500
snapshot,a,65891.20,0.00153174,1784618834527258500
snapshot,a,65891.95,0.00023280,1784618834527258500
snapshot,a,65892.31,0.01518320,1784618834527258500
snapshot,a,65892.40,0.04833924,1784618834527258500
snapshot,a,65892.41,0.06831285,1784618834527258500
snapshot,a,65893.26,0.02589132,1784618834527258500
snapshot,a,65893.31,0.00112566,1784618834527258500
snapshot,a,65894.40,0.00153174,1784618834527258500
snapshot,a,65895.00,0.01000000,1784618834527258500
snapshot,a,65897.02,0.00001700,1784618834527258500
snapshot,a,65897.60,0.00153174,1784618834527258500
snapshot,a,65898.15,0.29671861,1784618834527258500
snapshot,a,65898.22,0.04555578,1784618834527258500
snapshot,a,65899.99,0.09097582,1784618834527258500
snapshot,a,65900.00,0.08622440,1784618834527258500
snapshot,a,65900.73,0.00001700,1784618834527258500
snapshot,a,65900.80,0.00153174,1784618834527258500
snapshot,a,65901.43,0.06461516,1784618834527258500
snapshot,a,65902.11,0.09942156,1784618834527258500
snapshot,a,65902.12,0.06831285,1784618834527258500
snapshot,a,65902.18,0.01588056,1784618834527258500
snapshot,a,65902.23,0.00002277,1784618834527258500
snapshot,a,65903.43,0.00046560,1784618834527258500
snapshot,a,65903.45,0.00306626,1784618834527258500
snapshot,a,65904.00,0.00153174,1784618834527258500
snapshot,a,65904.13,0.04555294,1784618834527258500
snapshot,a,65904.44,0.00001700,1784618834527258500
snapshot,a,65904.99,0.00075916,1784618834527258500
snapshot,a,65905.00,0.01000000,1784618834527258500
snapshot,a,65905.29,0.00075914,1784618834527258500
snapshot,a,65905.30,0.31584360,1784618834527258500
snapshot,a,65905.31,0.01588056,1784618834527258500
snapshot,a,65905.46,0.50000000,1784618834527258500
snapshot,a,65907.20,0.00153174,1784618834527258500
snapshot,a,65907.84,0.01588056,1784618834527258500
snapshot,a,65908.15,0.00001700,1784618834527258500
snapshot,a,65908.73,0.00075911,1784618834527258500
snapshot,a,65908.74,0.06831285,1784618834527258500
snapshot,a,65909.00,0.00003126,1784618834527258500
snapshot,a,65909.49,0.35210388,1784618834527258500
snapshot,a,65909.50,0.53113100,1784618834527258500
snapshot,a,65910.00,0.01000000,1784618834527258500
snapshot,a,65910.40,0.00153174,1784618834527258500
snapshot,a,65911.08,0.00155607,1784618834527258500
snapshot,a,65911.68,0.04555294,1784618834527258500
snapshot,a,65911.86,0.00001700,1784618834527258500
snapshot,a,65913.36,0.02118341,1784618834527258500
snapshot,a,65913.60,0.00153174,1784618834527258500
snapshot,a,65914.96,0.06564343,1784618834527258500
snapshot,a,65915.00,0.01000000,1784618834527258500
snapshot,a,65915.34,0.64522464,1784618834527258500
snapshot,a,65915.53,0.00383282,1784618834527258500
snapshot,a,65915.57,0.00001700,1784618834527258500
snapshot,a,65916.80,0.00153174,1784618834527258500
snapshot,a,65918.02,0.68994110,1784618834527258500
snapshot,a,65918.17,0.11386579,1784618834527258500
snapshot,a,65918.49,0.28849700,1784618834527258500
snapshot,a,65919.28,0.00001700,1784618834527258500
update,b,52690.90,0.00020000,1784618834633247000
update,b,65193.84,0.03871964,1784618834633247000
update,b,65847.28,0.54152000,1784618834633247000
update,b,65849.23,0.54533557,1784618834633247000
update,b,57630.68,0.00000000,1784618834633462500
update,b,65847.28,0.00000000,1784618834633462500
update,b,65849.23,0.16524078,1784618834633462500
update,b,65857.04,0.00759220,1784618834633537100
update,a,65872.72,0.00000000,1784618834633537100
update,b,65857.04,0.01518440,1784618834633600500
update,a,65872.61,0.09900608,1784618834633600500
update,b,57630.68,0.01246252,1784618834633651800
update,b,65849.23,0.55116587,1784618834633844900
update,b,65836.44,0.00000000,1784618834633844900
update,b,65836.43,0.00000000,1784618834633844900
update,b,65836.45,0.91309022,1784618834633844900
update,b,52690.90,0.00000000,1784618834633844900
update,b,65857.18,0.00000000,1784618834633844900
update,b,65847.28,0.55128600,1784618834633844900
update,a,65923.63,0.32556651,1784618834633844900
update,a,65883.52,0.00000000,1784618834633844900
update,a,65883.51,0.00000000,1784618834633844900
update,a,65898.14,0.00000000,1784618834633844900
update,a,65923.64,0.00000000,1784618834633844900
update,a,65898.15,0.00000000,1784618834633844900
update,a,65898.13,0.29671870,1784618834633844900
update,a,65923.65,0.00000000,1784618834633844900
update,b,65849.23,0.16524078,1784618834634071000
update,b,65856.98,0.10000000,1784618834634071000
update,b,65857.04,0.01518440,1784618834634071000
update,b,65858.69,0.00000000,1784618834634071000
update,b,57630.68,0.00000000,1784618834634071000
update,b,65847.28,0.00000000,1784618834634071000
update,a,66511.55,0.00000000,1784618834634071000
update,a,65872.69,0.00000000,1784618834634071000
update,a,65871.02,0.00000000,1784618834634071000
update,a,65870.03,0.00000000,1784618834634071000
update,a,65871.01,0.00000000,1784618834634071000
update,a,65871.07,0.00758612,1784618834634071000
update,a,65871.26,0.00009488,1784618834634071000
update,a,65883.32,0.10038328,1784618834634071000
update,a,65871.37,0.00000000,1784618834634071000
update,a,65871.08,0.00000000,1784618834634071000
update,a,65872.58,0.00759041,1784618834634071000
update,b,65860.50,0.00000000,1784618834634286500
update,b,65860.51,0.02118317,1784618834634286500
update,a,65877.00,0.00000000,1784618834634286500
update,a,65876.94,0.19420414,1784618834634286500
update,a,65871.07,0.00000000,1784618834634286500
update,a,65871.15,0.00758612,1784618834634286500
update,a,65880.00,1.02070000,1784618834634286500
update,b,65859.00,1.00000000,1784618834634405700
update,b,65855.94,0.00069548,1784618834634405700
update,b,65859.04,0.19280920,1784618834634405700
update,b,65859.03,0.94910441,1784618834634405700
update,b,65847.30,0.65593800,1784618834634405700
update,b,65849.23,0.61364311,1784618834634405700
update,a,66510.88,0.03854074,1784618834634405700
update,b,57630.68,0.01246252,1784618834634507000
update,b,65859.00,0.00000000,1784618834634507000
update,b,65859.03,0.26680634,1784618834634507000
update,b,65859.04,0.00000000,1784618834634507000
update,b,65855.93,0.19280920,1784618834634507000
update,b,65860.51,0.61547495,1784618834634601800
