snap,ts_ns,side,rank,price,size
10,1784621741407509400,a,2,66225.42,0.98852388
10,1784621741407509400,a,3,66225.62,0.15099896
10,1784621741407509400,a,4,66226.21,0.00528504
10,1784621741407509400,a,5,66228,0.0083
10,1784621741407509400,a,6,66228.44,0.00660631
10,1784621741407509400,a,7,66229.44,0.05415327
10,1784621741407509400,a,8,66229.45,0.09070899
10,1784621741407509400,a,9,66230,0.0083
10,1784621741407509400,a,10,66231.44,0.09070899
10,1784621741407509400,a,11,66232.28,0.0227032
11,1784621741867167300,b,0,66234.14,0.08980281
11,1784621741867167300,b,1,66233.69,0.02400064
11,1784621741867167300,b,2,66233.32,0.01216089
11,1784621741867167300,b,3,66232.81,0.01509826
11,1784621741867167300,b,4,66232.69,0.02400064
11,1784621741867167300,b,5,66231.66,0.00528431
11,1784621741867167300,b,6,66229.43,0.00660539
11,1784621741867167300,b,7,66228.01,0.04540639
11,1784621741867167300,b,8,66228,1
11,1784621741867167300,b,9,66227.19,0.0007549
11,1784621741867167300,b,10,66226.99,0.12079666
11,1784621741867167300,b,11,66224.94,0.10209749
11,1784621741867167300,a,0,66234.15,0.0597916
11,1784621741867167300,a,1,66234.63,1.7e-05
11,1784621741867167300,a,2,66235.47,0.0189526
11,1784621741867167300,a,3,66235.48,0.01509764
11,1784621741867167300,a,4,66236,0.0091
11,1784621741867167300,a,5,66236.03,0.00754876
11,1784621741867167300,a,6,66236.62,0.01510214
11,1784621741867167300,a,7,66236.8,0.00153174
11,1784621741867167300,a,8,66237.18,0.00038328
11,1784621741867167300,a,9,66237.96,0.11223229
11,1784621741867167300,a,10,66237.97,0.09070899
11,1784621741867167300,a,11,66237.99,0.06810959
12,1784621742341383500,b,0,66219.79,1.7e-05
12,1784621742341383500,b,1,66216.08,1.637e-05
12,1784621742341383500,b,2,66215,0.01
12,1784621742341383500,b,3,66214.48,0.00075501
12,1784621742341383500,b,4,66214.4,0.00153174
12,1784621742341383500,b,5,66214.15,0.00750622
12,1784621742341383500,b,6,66213.04,0.61341548
12,1784621742341383500,b,7,66212.37,1.7e-05
12,1784621742341383500,b,8,66211.2,0.00153174
12,1784621742341383500,b,9,66211.02,0.93722307
12,1784621742341383500,b,10,66211,0.05
12,1784621742341383500,b,11,66210.48,5.064e-05
12,1784621742341383500,a,0,66220.01,0.08410305
12,1784621742341383500,a,1,66220.81,0.03342
12,1784621742341383500,a,2,66222.24,0.05640576
12,1784621742341383500,a,3,66222.58,0.02868227
12,1784621742341383500,a,4,66222.79,0.04848227
12,1784621742341383500,a,5,66222.8,0.0227032
12,1784621742341383500,a,6,66224,0.0091
12,1784621742341383500,a,7,66224.41,0.43396559
12,1784621742341383500,a,8,66224.43,0.04540639
12,1784621742341383500,a,9,66224.78,0.09070899
12,1784621742341383500,a,10,66226,0.0091
12,1784621742341383500,a,11,66226.76,0.05564256
13,1784621742567478300,b,0,66220,0.03420281
13,1784621742567478300,b,1,66219.79,1.7e-05
13,1784621742567478300,b,2,66219,1
13,1784621742567478300,b,3,66216.08,1.637e-05
13,1784621742567478300,b,4,66216.07,0.001583
13,1784621742567478300,b,5,66215.01,0.01541001
13,1784621742567478300,b,6,66215,0.01
13,1784621742567478300,b,7,66214.82,0.00755118
13,1784621742567478300,b,8,66214.48,0.00075501
13,1784621742567478300,b,9,66214.15,0.00750622
13,1784621742567478300,b,10,66213.18,0.1479531
13,1784621742567478300,b,11,66213.17,0.12082187
13,1784621742567478300,a,0,66220.01,0.19533595
13,1784621742567478300,a,1,66220.08,0.12080928
13,1784621742567478300,a,2,66222,0.09980899
13,1784621742567478300,a,3,66222.01,0.12080576
13,1784621742567478300,a,4,66222.57,0.01303133
13,1784621742567478300,a,5,66224,0.0091
13,1784621742567478300,a,6,66224.17,0.05958597
13,1784621742567478300,a,7,66224.23,0.00528531
13,1784621742567478300,a,8,66224.41,0.11341219
13,1784621742567478300,a,9,66224.95,0.0376985
13,1784621742567478300,a,10,66225.34,0.001583
13,1784621742567478300,a,11,66226,0.0091
14,1784621745297085400,b,0,66220,0.03601644
14,1784621745297085400,b,1,66219.79,1.7e-05
14,1784621745297085400,b,2,66219.59,0.02074818
14,1784621745297085400,b,3,66219,1
14,1784621745297085400,b,4,66218.67,0.01510148
14,1784621745297085400,b,5,66216.08,0.02001382
14,1784621745297085400,b,6,66216.07,0.001583
14,1784621745297085400,b,7,66215.03,0.00755116
14,1784621745297085400,b,8,66215,0.01
14,1784621745297085400,b,9,66214.15,0.00750622
14,1784621745297085400,b,10,66213.38,0.01510268
14,1784621745297085400,b,11,66213.18,0.25691042
14,1784621745297085400,a,0,66220.01,0.28565144
14,1784621745297085400,a,1,66220.07,0.22062508
14,1784621745297085400,a,2,66220.08,0.12080928
14,1784621745297085400,a,3,66221.34,0.01510088
14,1784621745297085400,a,4,66221.67,0.00528541
14,1784621745297085400,a,5,66222,0.09980899
14,1784621745297085400,a,6,66222.01,0.12080576
14,1784621745297085400,a,7,66223.9,0.00660676
14,1784621745297085400,a,8,66224,0.0091
14,1784621745297085400,a,9,66224.4,0.100535
14,1784621745297085400,a,10,66224.41,0.11341219
14,1784621745297085400,a,11,66224.95,0.0376985
15,1784621745696592300,b,0,66220,0.11615295
15,1784621745696592300,b,1,66219.99,0.03430281
15,1784621745696592300,b,2,66219,1
15,1784621745696592300,b,3,66218.72,0.03430281
15,1784621745696592300,b,4,66216.08,0.02001382
15,1784621745696592300,b,5,66216,0.0091
15,1784621745696592300,b,6,66215.8,0.001541
15,1784621745696592300,b,7,66215.03,0.00755116
15,1784621745696592300,b,8,66215,0.01
15,1784621745696592300,b,9,66214.15,0.00750622
15,1784621745696592300,b,10,66213.38,0.01510268
15,1784621745696592300,b,11,66212.37,1.7e-05
15,1784621745696592300,a,0,66220.01,0.06247097
15,1784621745696592300,a,1,66221.65,0.00528549
15,1784621745696592300,a,2,66222.4,0.05415327
15,1784621745696592300,a,3,66222.41,0.09070899
15,1784621745696592300,a,4,66223.88,0.00660686
15,1784621745696592300,a,5,66224,0.0091
15,1784621745696592300,a,6,66224.39,0.0227032
15,1784621745696592300,a,7,66224.4,0.07408483
15,1784621745696592300,a,8,66224.41,0.09070899
15,1784621745696592300,a,9,66225.07,0.001541
15,1784621745696592300,a,10,66226,0.0091
15,1784621745696592300,a,11,66226.51,0.04540639
16,1784621747466621200,b,0,66220,0.06586594
16,1784621747466621200,b,1,66219.99,0.03430281
16,1784621747466621200,b,2,66219,1
16,1784621747466621200,b,3,66218.55,0.01568268
16,1784621747466621200,b,4,66216.08,0.02001382
16,1784621747466621200,b,5,66216,0.0091
16,1784621747466621200,b,6,66215.8,0.001541
16,1784621747466621200,b,7,66215.03,0.01510232
16,1784621747466621200,b,8,66215,0.01
16,1784621747466621200,b,9,66214.15,0.00750622
16,1784621747466621200,b,10,66213.38,0.01510268
16,1784621747466621200,b,11,66212.78,0.04540639
16,1784621747466621200,a,0,66220.01,0.28068124
16,1784621747466621200,a,1,66221.24,0.11653525
16,1784621747466621200,a,2,66221.25,0.15100894
16,1784621747466621200,a,3,66221.65,0.00528549
16,1784621747466621200,a,4,66222,0.0091
16,1784621747466621200,a,5,66223.32,0.00120811
16,1784621747466621200,a,6,66223.88,0.00660686
16,1784621747466621200,a,7,66223.99,0.02533919
16,1784621747466621200,a,8,66224,0.0091
16,1784621747466621200,a,9,66224.39,0.0227032
